reading_date,meter_address,gateway_id,consumption,volume,hardware,leakage,burst,freeze,tamper,power_low,empty_spool,reverse_flow,routelist_id,,
2025-04-03,15923695,gw_1,15,2397,1,1,0,0,1,1,1,1,route_1,,
2025-04-04,15923695,gw_3,11,2408,0,1,1,1,1,1,1,1,route_3,,
2025-04-05,15923695,gw_4,6,2414,0,1,0,1,1,0,1,1,route_3,,
2025-04-06,15923695,gw_3,9,2423,1,0,1,1,0,0,1,0,route_2,,
2025-04-07,15923695,gw_2,7,2430,0,1,0,0,1,1,0,1,route_2,,
2025-04-08,15923695,gw_4,14,2444,1,0,0,0,0,0,0,1,route_2,,
2025-04-09,15923695,gw_5,13,2457,0,1,0,1,1,0,0,0,route_2,,
2025-04-10,15923695,gw_3,8,2465,0,1,0,0,0,1,0,0,route_3,,
2025-01-01,5923683,gw_4,14,1092,1,0,1,0,1,0,1,0,route_2,,
2025-01-02,5923683,gw_1,15,1107,1,1,0,1,1,1,1,0,route_2,,
2025-01-03,5923683,gw_1,7,1114,1,1,0,0,0,1,0,1,route_1,,
2025-01-04,5923683,gw_4,12,1126,0,1,1,1,1,1,1,0,route_2,,
2025-01-05,5923683,gw_1,11,1137,1,0,0,1,1,0,0,1,route_1,,
2025-01-06,5923683,gw_2,15,1152,0,0,1,1,1,0,1,1,route_2,,
2025-01-07,5923683,gw_4,11,1163,0,1,0,1,0,1,0,0,route_1,,
2025-01-08,5923683,gw_3,7,1170,1,0,0,0,1,1,1,0,route_1,,
2025-01-09,5923683,gw_5,7,1177,1,0,0,1,0,0,1,1,route_2,,
2025-01-10,5923683,gw_4,10,1187,0,0,0,1,0,1,0,0,route_2,,
2025-01-11,5923683,gw_4,8,1195,1,0,0,1,0,1,0,0,route_3,,
2025-01-12,5923683,gw_1,8,1203,1,0,0,1,0,1,1,0,route_2,,
2025-01-13,5923683,gw_2,11,1214,0,1,1,0,0,0,0,1,route_3,,
2025-01-14,5923683,gw_2,9,1223,1,0,1,1,0,0,1,1,route_3,,
2025-01-15,5923683,gw_1,6,1229,1,1,1,1,1,1,0,1,route_3,,
2025-01-16,5923683,gw_5,7,1236,0,0,1,0,0,1,1,0,route_3,,
2025-01-17,5923683,gw_4,6,1242,1,1,1,1,0,0,0,1,route_3,,
2025-01-18,5923683,gw_5,9,1251,1,1,0,0,0,1,1,0,route_3,,
2025-01-19,5923683,gw_1,5,1256,1,1,0,0,1,1,0,1,route_2,,
2025-01-20,5923683,gw_2,0,1248,0,0,1,0,1,0,0,0,route_1,,
2025-01-21,5923683,gw_2,12,1260,1,1,0,1,0,1,0,1,route_3,,
2025-01-22,5923683,gw_3,8,1268,1,0,1,1,1,0,1,1,route_1,,
2025-01-23,5923683,gw_4,15,1283,0,1,0,1,1,0,0,1,route_3,,
2025-01-24,5923683,gw_5,7,1290,0,0,1,1,1,0,1,1,route_3,,
2025-01-25,5923683,gw_1,10,1300,0,1,1,0,1,1,0,0,route_1,,
2025-01-26,5923683,gw_2,0,1298,0,0,0,1,1,0,1,0,route_1,,
2025-01-27,5923683,gw_2,5,1303,1,0,1,1,1,0,0,0,route_2,,
2025-01-28,5923683,gw_1,12,1315,0,0,0,1,0,0,0,1,route_3,,
2025-01-29,5923683,gw_2,15,1330,0,1,0,0,1,1,0,0,route_2,,
2025-01-30,5923683,gw_2,11,1341,1,0,1,0,1,1,0,1,route_2,,
2025-01-31,5923683,gw_5,13,1354,1,1,0,1,1,1,1,0,route_2,,
2025-02-01,5923683,gw_4,15,1369,0,1,0,0,1,0,0,1,route_1,,
2025-02-02,5923683,gw_1,6,1375,1,0,1,0,0,0,0,1,route_1,,
2025-02-03,5923683,gw_1,13,1388,1,1,1,0,1,1,0,1,route_2,,
2025-02-04,5923683,gw_1,13,1401,1,0,1,0,0,1,0,1,route_3,,
2025-02-05,5923683,gw_2,12,1413,1,1,1,1,0,1,1,1,route_1,,
2025-02-06,5923683,gw_1,15,1428,0,1,1,1,0,0,1,1,route_2,,
2025-02-07,5923683,gw_4,12,1440,1,0,0,0,1,0,0,1,route_2,,
2025-02-08,5923683,gw_3,15,1455,1,1,1,0,1,1,0,1,route_1,,
2025-02-09,5923683,gw_1,10,1465,1,0,0,0,0,1,0,0,route_3,,
2025-02-10,5923683,gw_3,8,1473,1,1,1,1,1,0,0,1,route_2,,
2025-02-11,5923683,gw_3,14,1487,0,0,0,1,0,0,0,0,route_1,,
2025-02-12,5923683,gw_4,6,1493,1,1,1,1,0,1,1,1,route_3,,
2025-02-13,5923683,gw_4,12,1505,1,1,1,1,0,0,1,1,route_1,,
2025-02-14,5923683,gw_3,6,1511,1,0,0,0,1,0,0,0,route_2,,
2025-02-15,5923683,gw_5,14,1525,0,1,0,1,1,0,0,0,route_3,,
2025-02-16,5923683,gw_4,9,1534,0,1,1,0,1,1,1,0,route_2,,
2025-02-17,5923683,gw_5,15,1549,0,0,0,1,1,1,0,0,route_1,,
2025-02-18,5923683,gw_1,14,1563,0,0,0,0,0,1,1,0,route_2,,
2025-02-19,5923683,gw_2,13,1576,0,1,0,0,1,0,0,0,route_2,,
2025-02-20,5923683,gw_1,6,1582,0,1,1,0,1,0,1,0,route_2,,
2025-02-21,5923683,gw_1,9,1591,0,1,0,1,0,0,0,1,route_1,,
2025-02-22,5923683,gw_2,14,1605,0,1,1,1,0,0,1,0,route_2,,
2025-02-23,5923683,gw_1,8,1613,0,0,0,1,0,1,1,0,route_3,,
2025-02-24,5923683,gw_2,14,1627,0,1,1,0,0,1,1,0,route_3,,
2025-02-25,5923683,gw_1,9,1636,0,0,0,0,0,0,1,1,route_1,,
2025-02-26,5923683,gw_3,11,1647,0,0,0,0,1,0,0,0,route_3,,
2025-02-27,5923683,gw_4,7,1654,1,1,1,1,1,1,1,1,route_1,,
2025-02-28,5923683,gw_5,9,1663,1,1,0,0,1,1,1,0,route_1,,
2025-03-01,5923683,gw_2,15,1678,0,1,0,0,1,1,0,1,route_3,,
2025-03-02,5923683,gw_5,15,1693,1,1,0,0,1,0,0,1,route_1,,
2025-03-03,5923683,gw_5,10,1703,1,1,1,0,0,0,0,1,route_2,,
2025-03-04,5923683,gw_4,15,1718,0,1,0,0,1,1,1,1,route_2,,
2025-03-05,5923683,gw_2,11,1729,1,1,0,0,0,0,0,0,route_1,,
2025-03-06,5923683,gw_2,13,1742,0,0,0,1,0,1,0,0,route_1,,
2025-03-07,5923683,gw_1,15,1757,1,1,0,0,1,1,1,1,route_2,,
2025-03-08,5923683,gw_4,6,1763,0,0,1,0,1,1,1,1,route_1,,
2025-03-09,5923683,gw_2,15,1778,0,0,0,1,1,1,1,0,route_3,,
2025-03-10,5923683,gw_4,10,1788,0,1,0,0,1,0,1,0,route_2,,
2025-03-11,5923683,gw_5,8,1796,1,1,0,0,1,1,1,0,route_2,,
2025-03-12,5923683,gw_1,11,1807,1,0,1,1,0,0,1,0,route_3,,
2025-03-13,5923683,gw_4,5,1812,0,0,0,1,1,1,1,1,route_2,,
2025-03-14,5923683,gw_4,7,1819,1,1,1,1,0,0,0,0,route_2,,
2025-03-15,5923683,gw_5,6,1825,0,0,0,1,1,0,0,0,route_1,,
2025-03-16,5923683,gw_4,12,1837,0,0,1,0,1,1,1,0,route_1,,
2025-03-17,5923683,gw_3,8,1845,1,1,1,1,1,1,0,0,route_3,,
2025-03-18,5923683,gw_5,10,1855,0,1,0,1,0,0,1,1,route_3,,
2025-03-19,5923683,gw_1,14,1869,1,1,1,0,1,0,0,1,route_1,,
2025-03-20,5923683,gw_1,10,1879,0,0,0,1,0,0,1,0,route_1,,
2025-03-21,5923683,gw_5,6,1885,1,0,1,0,1,1,1,1,route_2,,
2025-03-22,5923683,gw_5,11,1896,1,0,0,0,1,0,1,0,route_1,,
2025-03-23,5923683,gw_4,8,1904,1,0,1,1,0,1,1,1,route_1,,
2025-03-24,5923683,gw_1,5,1909,1,1,1,0,1,1,1,1,route_1,,
2025-03-25,5923683,gw_1,14,1923,1,0,0,0,1,1,0,1,route_2,,
2025-03-26,5923683,gw_5,0,1913,1,1,0,1,1,1,1,0,route_3,,
2025-03-27,5923683,gw_1,8,1921,1,0,0,1,0,1,0,1,route_3,,
2025-03-28,5923683,gw_2,15,1936,1,0,1,0,1,1,1,1,route_2,,
2025-03-29,5923683,gw_2,13,1949,1,0,0,0,0,0,0,1,route_1,,
2025-03-30,5923683,gw_1,7,1956,1,1,0,1,0,0,0,1,route_2,,
2025-03-31,5923683,gw_3,8,1964,0,1,0,1,0,0,0,1,route_1,,
2025-04-01,5923683,gw_2,12,1976,1,0,0,0,0,1,1,1,route_2,,
2025-04-02,5923683,gw_5,13,1989,1,0,0,1,1,0,1,1,route_1,,
2025-04-03,5923683,gw_4,5,1994,0,0,1,0,0,0,0,1,route_3,,
2025-04-04,5923683,gw_4,6,2000,1,0,1,1,1,1,0,1,route_1,,
2025-04-05,5923683,gw_5,14,2014,1,1,0,1,1,1,0,0,route_2,,
2025-04-06,5923683,gw_4,11,2025,0,0,1,0,0,1,0,1,route_1,,
2025-04-07,5923683,gw_1,13,2038,0,0,0,1,0,0,0,0,route_2,,
2025-04-08,5923683,gw_2,14,2052,0,1,0,0,0,1,1,0,route_2,,
2025-04-09,5923683,gw_3,10,2062,0,0,0,0,1,1,1,0,route_2,,
2025-04-10,5923683,gw_1,0,2058,0,0,0,1,1,1,0,0,route_2,,
2025-01-01,43499,gw_2,8,1795,1,0,1,1,0,0,1,0,route_2,,
2025-01-02,43499,gw_2,9,1804,1,1,0,1,1,1,0,1,route_2,,
2025-01-03,43499,gw_3,10,1814,1,0,1,0,1,0,0,1,route_1,,
2025-01-04,43499,gw_2,12,1826,0,1,0,1,0,1,1,0,route_1,,
2025-01-05,43499,gw_4,5,1831,0,0,0,0,1,0,1,1,route_1,,
2025-01-06,43499,gw_5,0,1821,0,1,1,0,0,0,0,1,route_2,,
2025-01-07,43499,gw_2,14,1835,1,0,1,0,0,0,0,1,route_1,,
2025-01-08,43499,gw_1,6,1841,0,0,1,1,0,1,0,1,route_1,,
2025-01-09,43499,gw_4,8,1849,0,0,0,0,0,0,1,1,route_2,,
2025-01-10,43499,gw_4,9,1858,0,0,0,1,1,0,0,0,route_3,,
2025-01-11,43499,gw_2,0,1852,0,0,1,1,0,1,0,0,route_3,,
2025-01-12,43499,gw_2,13,1865,0,0,0,1,0,0,1,0,route_1,,
2025-01-13,43499,gw_5,9,1874,0,1,1,1,1,0,1,1,route_1,,
2025-01-14,43499,gw_3,12,1886,0,0,0,1,0,1,0,1,route_1,,
2025-01-15,43499,gw_5,15,1901,0,1,1,0,0,0,0,1,route_1,,
2025-01-16,43499,gw_5,14,1915,0,0,0,1,1,1,0,0,route_3,,
2025-01-17,43499,gw_1,6,1921,1,1,0,0,0,1,0,0,route_2,,
2025-01-18,43499,gw_3,6,1927,0,0,0,1,1,0,1,1,route_1,,
2025-01-19,43499,gw_4,5,1932,1,1,1,0,1,1,0,0,route_2,,
2025-01-20,43499,gw_4,12,1944,0,0,0,0,1,1,0,1,route_2,,
2025-01-21,43499,gw_4,13,1957,1,0,0,1,1,0,1,0,route_3,,
2025-01-22,43499,gw_3,8,1965,1,0,0,0,0,0,1,0,route_1,,
2025-01-23,43499,gw_4,6,1971,0,1,1,0,1,1,0,0,route_2,,
2025-01-24,43499,gw_2,15,1986,1,0,0,0,1,0,1,0,route_1,,
2025-01-25,43499,gw_2,15,2001,1,0,1,0,0,1,0,1,route_2,,
2025-01-26,43499,gw_1,5,2006,1,0,0,1,0,0,1,0,route_1,,
2025-01-27,43499,gw_4,10,2016,1,1,0,1,1,0,1,1,route_3,,
2025-01-28,43499,gw_2,6,2022,1,0,1,1,1,1,1,1,route_1,,
2025-01-29,43499,gw_5,8,2030,1,0,0,1,0,1,0,1,route_2,,
2025-01-30,43499,gw_2,15,2045,1,1,0,0,1,1,0,0,route_1,,
2025-01-31,43499,gw_2,0,2037,1,1,1,1,0,0,0,0,route_2,,
2025-02-01,43499,gw_5,15,2052,0,1,0,1,1,1,0,1,route_2,,
2025-02-02,43499,gw_3,12,2064,0,0,1,1,0,1,0,1,route_2,,
2025-02-03,43499,gw_3,13,2077,0,1,0,0,0,0,0,0,route_1,,
2025-02-04,43499,gw_1,6,2083,1,0,1,0,0,0,0,0,route_1,,
2025-02-05,43499,gw_5,11,2094,1,0,0,1,1,1,0,1,route_1,,
2025-02-06,43499,gw_2,6,2100,1,0,0,1,1,1,0,0,route_1,,
2025-02-07,43499,gw_4,0,2099,0,1,1,0,0,0,1,0,route_2,,
2025-02-08,43499,gw_4,15,2114,0,1,0,0,0,1,1,1,route_1,,
2025-02-09,43499,gw_2,11,2125,0,1,1,1,1,0,0,0,route_2,,
2025-02-10,43499,gw_1,6,2131,0,0,0,0,0,1,0,0,route_3,,
2025-02-11,43499,gw_4,9,2140,0,0,0,0,0,1,0,1,route_1,,
2025-02-12,43499,gw_5,7,2147,0,1,1,0,0,0,1,1,route_3,,
2025-02-13,43499,gw_3,15,2162,0,0,0,1,1,1,0,0,route_3,,
2025-02-14,43499,gw_2,13,2175,1,1,1,1,0,0,0,0,route_3,,
2025-02-15,43499,gw_1,6,2181,0,0,0,0,1,0,1,1,route_1,,
2025-02-16,43499,gw_3,9,2190,1,1,0,1,0,1,1,0,route_2,,
2025-02-17,43499,gw_2,8,2198,0,0,0,1,0,1,0,0,route_3,,
2025-02-18,43499,gw_1,11,2209,0,0,1,0,1,1,0,0,route_1,,
2025-02-19,43499,gw_4,13,2222,1,1,1,0,1,0,1,1,route_3,,
2025-02-20,43499,gw_3,10,2232,1,0,0,1,0,1,0,0,route_1,,
2025-02-21,43499,gw_4,8,2240,0,0,0,1,0,0,0,1,route_2,,
2025-02-22,43499,gw_2,12,2252,1,1,1,1,0,0,0,1,route_2,,
2025-02-23,43499,gw_5,10,2262,1,1,0,0,1,0,1,0,route_2,,
2025-02-24,43499,gw_3,10,2272,1,0,0,0,1,0,0,0,route_1,,
2025-02-25,43499,gw_3,11,2283,1,1,1,1,0,1,1,0,route_3,,
2025-02-26,43499,gw_1,13,2296,0,0,0,1,1,1,0,1,route_3,,
2025-02-27,43499,gw_5,10,2306,0,0,1,1,1,0,0,1,route_3,,
2025-02-28,43499,gw_4,11,2317,0,1,1,1,0,0,1,0,route_1,,
2025-03-01,43499,gw_3,11,2328,0,0,0,1,0,0,0,1,route_3,,
2025-03-02,43499,gw_5,10,2338,0,1,1,0,0,0,1,0,route_2,,
2025-03-03,43499,gw_3,5,2343,1,0,0,1,1,0,1,1,route_3,,
2025-03-04,43499,gw_1,14,2357,1,0,0,0,1,0,0,1,route_3,,
2025-03-05,43499,gw_5,6,2363,0,0,1,0,1,1,0,1,route_2,,
2025-03-06,43499,gw_4,14,2377,1,0,0,1,1,0,0,1,route_2,,
2025-03-07,43499,gw_4,11,2388,1,0,0,1,1,0,0,0,route_2,,
2025-03-08,43499,gw_5,10,2398,0,0,1,0,0,1,1,1,route_3,,
2025-03-09,43499,gw_4,7,2405,1,0,0,0,1,0,0,1,route_3,,
2025-03-10,43499,gw_3,12,2417,1,0,0,1,0,0,0,1,route_2,,
2025-03-11,43499,gw_1,13,2430,0,0,0,0,0,0,1,1,route_2,,
2025-03-12,43499,gw_1,6,2436,1,0,1,0,1,0,1,1,route_1,,
2025-03-13,43499,gw_4,8,2444,1,1,0,1,1,1,0,1,route_3,,
2025-03-14,43499,gw_1,6,2450,0,0,0,0,0,0,0,0,route_2,,
2025-03-15,43499,gw_4,12,2462,0,0,0,1,1,1,1,0,route_1,,
2025-03-16,43499,gw_3,14,2476,0,0,0,1,0,1,0,1,route_2,,
2025-03-17,43499,gw_5,8,2484,1,1,1,1,1,1,0,1,route_1,,
2025-03-18,43499,gw_5,7,2491,0,0,1,0,1,0,0,1,route_1,,
2025-03-19,43499,gw_1,15,2506,0,1,0,1,1,1,0,0,route_2,,
2025-03-20,43499,gw_2,11,2517,1,0,1,1,1,0,0,0,route_3,,
2025-03-21,43499,gw_5,6,2523,1,0,1,0,1,0,0,0,route_3,,
2025-03-22,43499,gw_4,15,2538,0,0,1,1,0,1,0,0,route_2,,
2025-03-23,43499,gw_1,15,2553,0,0,0,0,0,0,0,0,route_1,,
2025-03-24,43499,gw_5,14,2567,1,1,1,0,0,0,1,0,route_3,,
2025-03-25,43499,gw_1,11,2578,1,0,1,0,1,1,1,0,route_3,,
2025-03-26,43499,gw_5,14,2592,1,1,1,1,0,0,0,0,route_2,,
2025-03-27,43499,gw_2,12,2604,1,0,0,0,1,1,0,0,route_2,,
2025-03-28,43499,gw_4,12,2616,0,0,1,1,0,1,1,1,route_3,,
2025-03-29,43499,gw_3,15,2631,1,1,1,1,1,1,0,0,route_1,,
2025-03-30,43499,gw_1,11,2642,0,1,1,1,0,1,0,0,route_2,,
2025-03-31,43499,gw_4,12,2654,1,0,1,0,1,1,0,1,route_3,,
2025-04-01,43499,gw_2,15,2669,1,0,0,1,0,0,1,1,route_3,,
2025-04-02,43499,gw_1,12,2681,0,1,0,0,1,0,0,1,route_2,,
2025-04-03,43499,gw_2,12,2693,0,0,0,1,0,1,1,1,route_3,,
2025-04-04,43499,gw_2,5,2698,1,1,1,1,1,1,1,1,route_2,,
2025-04-05,43499,gw_1,15,2713,1,0,1,1,1,0,0,0,route_2,,
2025-04-06,43499,gw_5,5,2718,0,1,0,1,0,1,0,0,route_1,,
2025-04-07,43499,gw_3,11,2729,1,1,1,1,0,1,1,0,route_1,,
2025-04-08,43499,gw_5,10,2739,0,0,0,0,1,0,1,0,route_2,,
2025-04-09,43499,gw_4,15,2754,1,1,0,0,1,0,1,0,route_2,,
2025-04-10,43499,gw_3,6,2760,0,0,0,0,1,0,1,0,route_2,,
2025-01-01,51052,gw_1,5,1214,0,0,1,0,0,1,0,0,route_2,,
2025-01-02,51052,gw_4,0,1208,0,1,1,0,0,0,0,0,route_3,,
2025-01-03,51052,gw_4,13,1221,1,1,1,1,1,0,0,0,route_2,,
2025-01-04,51052,gw_1,13,1234,0,1,0,1,1,0,1,1,route_2,,
2025-01-05,51052,gw_1,14,1248,1,1,1,0,0,0,0,1,route_2,,
2025-01-06,51052,gw_4,15,1263,1,0,0,0,0,1,1,1,route_3,,
2025-01-07,51052,gw_1,13,1276,0,1,1,1,0,1,0,0,route_2,,
2025-01-08,51052,gw_3,15,1291,0,0,1,0,1,0,1,1,route_3,,
2025-01-09,51052,gw_1,6,1297,0,1,1,0,1,0,0,1,route_2,,
2025-01-10,51052,gw_4,10,1307,1,0,1,0,0,0,1,0,route_1,,
2025-01-11,51052,gw_3,5,1312,0,0,1,0,1,1,0,1,route_1,,
2025-01-12,51052,gw_4,7,1319,0,1,0,1,0,1,1,1,route_3,,
2025-01-13,51052,gw_1,14,1333,1,0,1,0,1,1,0,0,route_1,,
2025-01-14,51052,gw_3,6,1339,0,0,0,1,0,1,1,1,route_1,,
2025-01-15,51052,gw_4,11,1350,0,1,1,0,0,1,1,0,route_2,,
2025-01-16,51052,gw_2,14,1364,1,0,1,0,0,1,0,0,route_2,,
2025-01-17,51052,gw_2,8,1372,1,0,1,1,0,0,1,0,route_2,,
2025-01-18,51052,gw_3,13,1385,1,1,0,1,1,0,0,0,route_2,,
2025-01-19,51052,gw_4,6,1391,1,1,1,0,1,0,0,1,route_1,,
2025-01-20,51052,gw_4,8,1399,1,1,0,0,0,0,0,0,route_2,,
2025-01-21,51052,gw_4,5,1404,0,0,1,1,1,0,1,1,route_3,,
2025-01-22,51052,gw_2,14,1418,0,1,1,1,0,0,0,0,route_3,,
2025-01-23,51052,gw_1,7,1425,1,1,1,0,1,1,0,0,route_1,,
2025-01-24,51052,gw_2,5,1430,0,1,1,1,1,0,0,1,route_2,,
2025-01-25,51052,gw_1,15,1445,1,1,1,0,1,0,1,1,route_3,,
