reading_date,meter_address,gateway_id,consumption,volume,hardware,leakage,burst,freeze,tamper,power_low,empty_spool,reverse_flow,routelist_id
2025-03-12,EN123456,gw_4,8,3270,0,0,0,0,0,0,0,0,route_2
2025-03-13,EN123456,gw_3,14,3284,1,0,0,0,1,0,1,1,route_1
2025-03-14,EN123456,gw_1,5,3289,0,0,1,0,1,1,0,1,route_3
2025-03-15,EN123456,gw_3,11,3300,0,1,0,1,0,1,0,0,route_1
2025-03-16,EN123456,gw_3,12,3312,0,0,1,1,0,0,1,0,route_3
2025-03-17,EN123456,gw_4,8,3320,1,0,1,1,1,0,0,0,route_1
2025-03-18,EN123456,gw_5,5,3325,0,0,0,1,1,1,0,0,route_3
2025-03-19,EN123456,gw_4,13,3338,1,0,0,0,0,1,0,1,route_1
2025-03-20,EN123456,gw_3,0,3338,0,1,1,0,0,0,0,0,route_1
2025-03-21,EN123456,gw_2,11,3349,0,1,0,1,1,0,0,1,route_3
2025-03-22,EN123456,gw_5,7,3356,0,1,0,1,0,0,0,1,route_3
2025-03-23,EN123456,gw_3,0,3356,0,0,0,0,0,1,0,1,route_3
2025-03-24,EN123456,gw_4,7,3363,0,0,0,1,0,0,1,1,route_3
2025-03-25,EN123456,gw_3,6,3369,0,0,0,0,1,0,1,1,route_3
2025-03-26,EN123456,gw_4,9,3378,0,1,0,1,0,1,0,0,route_1
2025-03-27,EN123456,gw_4,5,3383,0,0,0,1,1,0,0,0,route_3
2025-03-28,EN123456,gw_2,8,3391,0,0,1,0,1,1,0,0,route_1
2025-03-29,EN123456,gw_1,14,3405,1,1,1,1,1,0,0,0,route_3
2025-03-30,EN123456,gw_1,9,3414,1,1,0,1,0,0,0,0,route_1
2025-03-31,EN123456,gw_3,12,3426,1,0,1,1,1,0,1,1,route_3
2025-04-01,EN123456,gw_2,6,3432,0,1,1,0,1,1,0,1,route_2
2025-04-02,EN123456,gw_2,9,3441,1,1,0,0,1,0,0,1,route_3
2025-04-03,EN123456,gw_1,15,3456,0,1,0,1,0,0,1,1,route_1
2025-04-04,EN123456,gw_4,8,3464,1,1,1,1,0,0,1,1,route_2
2025-04-05,EN123456,gw_5,9,3473,0,0,1,0,1,0,0,1,route_3
2025-04-06,EN123456,gw_5,12,3485,0,0,1,1,1,0,1,1,route_2
2025-04-07,EN123456,gw_1,12,3497,1,1,1,1,0,0,0,1,route_1
2025-04-08,EN123456,gw_4,6,3503,0,1,0,0,0,1,1,1,route_3
2025-04-09,EN123456,gw_1,12,3515,1,0,0,0,0,0,1,0,route_3
2025-04-10,EN123456,gw_5,6,3521,1,0,1,1,1,0,0,1,route_2
2025-01-01,EN654321,gw_4,6,2036,1,0,1,0,0,1,0,0,route_2
2025-01-02,EN654321,gw_4,6,2042,1,0,0,1,1,1,0,0,route_2
2025-01-03,EN654321,gw_4,13,2055,0,1,1,1,0,0,1,1,route_3
2025-01-04,EN654321,gw_5,11,2066,0,1,1,0,1,1,1,1,route_3
2025-01-05,EN654321,gw_2,11,2077,0,0,1,0,1,1,1,0,route_1
2025-01-06,EN654321,gw_4,12,2089,1,1,0,1,1,0,0,1,route_3
2025-01-07,EN654321,gw_1,8,2097,0,1,0,0,1,0,0,0,route_3
2025-01-08,EN654321,gw_2,9,2106,1,0,1,0,1,0,0,0,route_3
2025-01-09,EN654321,gw_1,12,2118,0,0,1,1,1,0,0,1,route_1
2025-01-10,EN654321,gw_2,12,2130,1,0,0,0,1,0,1,0,route_2
2025-01-11,EN654321,gw_2,14,2144,1,0,0,0,1,0,0,0,route_1
2025-01-12,EN654321,gw_3,10,2154,1,1,1,1,1,1,1,0,route_2
2025-01-13,EN654321,gw_3,7,2161,1,1,1,0,0,0,1,1,route_3
2025-01-14,EN654321,gw_2,13,2174,0,1,0,0,0,0,0,1,route_3
2025-01-15,EN654321,gw_5,15,2189,0,0,0,1,1,1,0,0,route_1
2025-01-16,EN654321,gw_4,12,2201,0,0,0,1,1,1,0,0,route_3
2025-01-17,EN654321,gw_2,12,2213,0,1,1,0,1,1,0,0,route_2
2025-01-18,EN654321,gw_5,5,2218,1,1,1,0,1,0,1,1,route_2
2025-01-19,EN654321,gw_2,13,2231,0,0,0,0,0,1,1,0,route_2
2025-01-20,EN654321,gw_4,12,2243,1,1,1,0,1,1,1,1,route_3
2025-01-21,EN654321,gw_3,5,2248,1,1,0,0,1,1,1,0,route_3
2025-01-22,EN654321,gw_5,6,2254,1,1,0,0,0,1,1,1,route_1
2025-01-23,EN654321,gw_3,15,2269,1,1,1,1,0,0,0,0,route_2
2025-01-24,EN654321,gw_2,9,2278,0,1,0,0,1,1,0,0,route_3
2025-01-25,EN654321,gw_5,8,2286,1,1,1,1,1,0,1,1,route_2
2025-01-26,EN654321,gw_4,12,2298,0,1,0,0,1,1,1,0,route_2
2025-01-27,EN654321,gw_4,6,2304,1,0,0,0,0,1,0,1,route_2
2025-01-28,EN654321,gw_5,10,2314,0,1,1,1,0,1,1,1,route_1
2025-01-29,EN654321,gw_5,10,2324,0,0,1,0,1,0,0,0,route_2
2025-01-30,EN654321,gw_4,9,2333,0,1,0,1,1,0,0,0,route_2
2025-01-31,EN654321,gw_3,15,2348,0,1,1,1,0,0,1,1,route_3
2025-02-01,EN654321,gw_4,15,2363,0,1,1,1,1,0,0,0,route_2
2025-02-02,EN654321,gw_2,8,2371,0,1,0,1,0,0,1,0,route_1
2025-02-03,EN654321,gw_1,10,2381,1,1,1,1,0,1,1,1,route_1
2025-02-04,EN654321,gw_1,15,2396,1,1,0,0,1,1,1,0,route_3
2025-02-05,EN654321,gw_5,15,2411,1,0,1,1,1,1,1,1,route_1
2025-02-06,EN654321,gw_5,8,2419,1,0,0,0,0,0,0,1,route_1
2025-02-07,EN654321,gw_3,11,2430,0,1,1,1,0,0,1,1,route_3
2025-02-08,EN654321,gw_2,6,2436,0,0,0,0,0,0,0,0,route_1
2025-02-09,EN654321,gw_3,9,2445,1,0,0,1,0,1,1,1,route_2
2025-02-10,EN654321,gw_2,7,2452,0,0,0,0,0,1,1,0,route_2
2025-02-11,EN654321,gw_5,9,2461,0,0,1,0,0,0,0,1,route_1
2025-02-12,EN654321,gw_1,9,2470,1,0,0,1,1,1,0,0,route_3
2025-02-13,EN654321,gw_5,8,2478,0,1,1,0,0,0,1,0,route_2
2025-02-14,EN654321,gw_1,11,2489,1,1,0,1,1,0,0,1,route_1
2025-02-15,EN654321,gw_3,9,2498,1,1,1,1,0,1,0,1,route_2
2025-02-16,EN654321,gw_2,14,2512,1,0,0,1,0,0,1,0,route_2
2025-02-17,EN654321,gw_3,5,2517,1,1,1,1,1,1,1,0,route_2
2025-02-18,EN654321,gw_5,7,2524,0,1,0,0,1,0,0,0,route_1
2025-02-19,EN654321,gw_5,8,2532,0,1,1,1,1,1,0,1,route_3
2025-02-20,EN654321,gw_3,12,2544,1,0,0,1,0,1,1,0,route_2
2025-02-21,EN654321,gw_2,7,2551,1,0,1,1,0,0,0,1,route_1
2025-02-22,EN654321,gw_1,15,2566,0,0,1,0,0,1,1,0,route_2
2025-02-23,EN654321,gw_1,15,2581,0,1,0,0,1,1,0,1,route_3
2025-02-24,EN654321,gw_1,12,2593,1,0,1,1,1,0,0,0,route_3
2025-02-25,EN654321,gw_5,7,2600,0,0,1,1,1,1,1,0,route_3
2025-02-26,EN654321,gw_1,9,2609,1,1,0,1,0,1,1,1,route_2
2025-02-27,EN654321,gw_5,15,2624,1,0,1,1,1,1,0,1,route_2
2025-02-28,EN654321,gw_2,15,2639,0,1,1,0,1,0,1,1,route_3
2025-03-01,EN654321,gw_4,9,2648,1,1,0,0,1,0,1,0,route_2
2025-03-02,EN654321,gw_4,9,2657,1,0,0,0,0,0,0,0,route_1
2025-03-03,EN654321,gw_3,10,2667,1,0,0,1,1,1,0,1,route_2
2025-03-04,EN654321,gw_3,15,2682,1,0,1,1,1,1,1,0,route_1
2025-03-05,EN654321,gw_5,14,2696,1,0,0,0,0,0,0,1,route_3
2025-03-06,EN654321,gw_2,14,2710,0,0,1,1,0,0,1,1,route_1
2025-03-07,EN654321,gw_4,6,2716,1,1,0,1,0,1,0,1,route_3
2025-03-08,EN654321,gw_3,0,2716,0,0,1,1,0,0,0,0,route_3
2025-03-09,EN654321,gw_1,15,2731,1,0,1,0,0,0,1,1,route_1
2025-03-10,EN654321,gw_3,9,2740,1,0,0,1,1,1,0,1,route_2
2025-03-11,EN654321,gw_4,9,2749,1,1,1,1,1,0,1,1,route_2
2025-03-12,EN654321,gw_3,11,2760,0,1,1,1,0,0,0,0,route_1
2025-03-13,EN654321,gw_4,15,2775,0,1,0,1,1,0,1,0,route_2
2025-03-14,EN654321,gw_4,5,2780,1,1,0,0,1,0,1,1,route_1
2025-03-15,EN654321,gw_4,11,2791,1,1,0,1,0,1,0,1,route_2
2025-03-16,EN654321,gw_3,6,2797,1,0,0,0,0,1,1,0,route_2
2025-03-17,EN654321,gw_3,6,2803,0,0,0,0,0,1,1,1,route_1
2025-03-18,EN654321,gw_2,11,2814,1,0,1,0,1,0,1,0,route_2
2025-03-19,EN654321,gw_3,11,2825,0,0,1,1,1,0,0,0,route_3
2025-03-20,EN654321,gw_4,5,2830,1,1,0,1,0,1,0,1,route_3
2025-03-21,EN654321,gw_3,8,2838,1,1,1,1,1,1,1,0,route_2
2025-03-22,EN654321,gw_3,0,2838,1,1,1,0,0,1,1,1,route_1
2025-03-23,EN654321,gw_2,9,2847,0,0,1,1,1,0,0,1,route_2
2025-03-24,EN654321,gw_1,9,2856,0,0,1,1,0,1,0,0,route_3
2025-03-25,EN654321,gw_1,0,2856,0,1,0,0,1,0,0,0,route_1
2025-03-26,EN654321,gw_5,14,2870,1,1,0,0,0,1,1,1,route_1
2025-03-27,EN654321,gw_1,6,2876,1,0,0,1,1,1,0,0,route_3
2025-03-28,EN654321,gw_3,15,2891,0,1,0,0,1,0,1,1,route_1
2025-03-29,EN654321,gw_2,5,2896,1,0,1,0,0,0,0,1,route_2
2025-03-30,EN654321,gw_1,13,2909,1,0,1,1,0,1,1,1,route_3
2025-03-31,EN654321,gw_3,7,2916,0,0,0,0,1,1,0,0,route_2
2025-04-01,EN654321,gw_4,15,2931,0,1,1,0,1,0,1,1,route_1
2025-04-02,EN654321,gw_4,5,2936,0,1,1,1,1,1,0,0,route_1
2025-04-03,EN654321,gw_2,13,2949,1,0,0,1,1,1,0,1,route_2
2025-04-04,EN654321,gw_2,15,2964,1,0,0,0,1,0,0,1,route_3
2025-04-05,EN654321,gw_1,12,2976,1,1,1,1,0,1,0,0,route_3
2025-04-06,EN654321,gw_2,7,2983,1,1,0,0,0,1,0,1,route_2
2025-04-07,EN654321,gw_5,12,2995,0,1,0,1,1,0,0,1,route_1
2025-04-08,EN654321,gw_3,12,3007,1,0,1,1,1,1,0,0,route_2
2025-04-09,EN654321,gw_4,11,3018,1,0,0,1,1,1,1,0,route_2
2025-04-10,EN654321,gw_5,10,3028,1,1,0,0,1,0,1,0,route_2
2025-01-01,EN987654,gw_3,14,2283,0,0,1,0,0,0,1,1,route_1
2025-01-02,EN987654,gw_4,-1,2282,1,1,0,1,0,1,0,0,route_3
2025-01-03,EN987654,gw_1,15,2306,1,0,0,0,1,0,1,1,route_1
2025-01-04,EN987654,gw_5,12,2318,1,0,1,0,1,0,0,0,route_2
2025-01-05,EN987654,gw_3,10,2328,0,0,1,0,0,0,0,0,route_3
2025-01-06,EN987654,gw_2,0,2328,0,1,0,0,1,0,1,0,route_2
2025-01-07,EN987654,gw_1,14,2342,0,0,0,0,0,1,0,1,route_1
2025-01-08,EN987654,gw_2,7,2349,0,1,0,1,0,1,1,0,route_2
2025-01-09,EN987654,gw_3,12,2361,1,1,0,1,1,0,1,0,route_1
2025-01-10,EN987654,gw_1,11,2372,0,0,1,0,1,0,0,1,route_3
2025-01-11,EN987654,gw_3,5,2377,1,0,0,0,1,1,0,1,route_3
2025-01-12,EN987654,gw_1,6,2383,1,1,0,0,1,1,0,1,route_3
2025-01-13,EN987654,gw_1,6,2389,0,0,0,0,0,1,0,1,route_2
2025-01-14,EN987654,gw_4,13,2402,0,0,1,0,1,0,1,0,route_2
2025-01-15,EN987654,gw_3,12,2414,1,0,0,1,1,0,1,1,route_1
2025-01-16,EN987654,gw_5,12,2426,0,1,1,0,1,1,1,0,route_1
2025-01-17,EN987654,gw_5,6,2432,0,1,1,0,1,0,1,1,route_3
2025-01-18,EN987654,gw_4,11,2443,1,0,0,1,1,1,1,0,route_2
2025-01-19,EN987654,gw_2,9,2452,1,0,1,1,1,1,0,1,route_2
2025-01-20,EN987654,gw_1,12,2464,1,0,0,1,0,1,1,1,route_1
2025-01-21,EN987654,gw_3,8,2472,0,1,0,1,0,1,1,0,route_1
2025-01-22,EN987654,gw_3,10,2482,1,0,0,0,0,1,0,1,route_3
2025-01-23,EN987654,gw_1,-3,2479,1,1,0,0,0,0,0,1,route_1
2025-01-24,EN987654,gw_1,10,2507,1,0,0,0,1,0,1,1,route_2
2025-01-25,EN987654,gw_1,5,2512,1,0,0,0,0,1,0,0,route_2
2025-01-26,EN987654,gw_3,15,2527,0,0,0,0,0,1,0,1,route_1
2025-01-27,EN987654,gw_5,12,2539,0,1,1,1,1,0,1,0,route_3
2025-01-28,EN987654,gw_4,9,2548,1,0,0,0,0,1,0,1,route_2
2025-01-29,EN987654,gw_2,9,2557,1,1,1,0,1,1,0,1,route_1
2025-01-30,EN987654,gw_2,12,2569,0,0,1,1,1,1,0,1,route_3
2025-01-31,EN987654,gw_2,8,2577,1,0,0,1,1,1,0,0,route_3
2025-02-01,EN987654,gw_2,12,2589,1,0,0,1,0,0,1,0,route_1
2025-02-02,EN987654,gw_4,15,2604,1,0,0,1,0,0,1,0,route_1
2025-02-03,EN987654,gw_5,6,2610,1,1,0,1,0,0,0,1,route_2
2025-02-04,EN987654,gw_4,6,2616,0,0,0,1,1,1,0,0,route_2
2025-02-05,EN987654,gw_4,12,2628,1,0,1,1,0,1,0,0,route_2
2025-02-06,EN987654,gw_3,11,2639,1,1,0,0,1,1,1,1,route_2
2025-02-07,EN987654,gw_1,6,2645,1,1,0,0,0,0,1,1,route_1
2025-02-08,EN987654,gw_3,14,2659,0,1,1,0,1,0,1,1,route_1
2025-02-09,EN987654,gw_1,11,2670,1,1,1,1,0,0,0,1,route_1
2025-02-10,EN987654,gw_2,9,2679,0,1,1,0,0,1,1,0,route_1
2025-02-11,EN987654,gw_1,10,2689,0,0,0,1,1,1,1,0,route_1
2025-02-12,EN987654,gw_4,8,2697,0,0,1,1,0,1,0,0,route_3
2025-02-13,EN987654,gw_5,14,2711,0,1,1,0,0,1,1,1,route_3
2025-02-14,EN987654,gw_5,5,2716,1,0,0,1,1,0,0,0,route_1
2025-02-15,EN987654,gw_4,15,2731,0,0,1,0,0,1,0,0,route_3
2025-02-16,EN987654,gw_4,13,2744,0,1,1,1,0,1,0,0,route_2
2025-02-17,EN987654,gw_3,9,2753,1,1,1,1,1,1,1,1,route_2
2025-02-18,EN987654,gw_2,7,2760,0,1,0,1,1,0,0,1,route_3
2025-02-19,EN987654,gw_3,7,2767,1,1,0,1,0,0,0,0,route_2
2025-02-20,EN987654,gw_2,13,2780,1,0,0,0,0,1,1,1,route_3
2025-02-21,EN987654,gw_2,6,2786,1,1,0,0,1,1,1,0,route_1
2025-02-22,EN987654,gw_3,9,2795,1,0,0,0,1,0,0,1,route_1
2025-02-23,EN987654,gw_3,0,2795,1,1,0,1,0,0,1,0,route_2
2025-02-24,EN987654,gw_4,13,2808,1,1,1,0,0,1,0,0,route_3
2025-02-25,EN987654,gw_4,15,2823,1,1,0,0,0,1,1,1,route_1
2025-02-26,EN987654,gw_2,11,2834,1,0,0,1,0,1,1,1,route_2
2025-02-27,EN987654,gw_2,9,2843,1,0,0,1,1,0,1,0,route_3
2025-02-28,EN987654,gw_2,12,2855,1,1,1,0,1,0,1,1,route_2
2025-03-01,EN987654,gw_2,0,2855,1,0,1,1,1,0,0,0,route_2
2025-03-02,EN987654,gw_5,-6,2849,0,1,0,1,0,0,0,0,route_3
2025-03-03,EN987654,gw_3,9,2876,0,0,1,0,0,0,1,0,route_1
2025-03-04,EN987654,gw_5,13,2889,0,1,0,1,1,0,0,1,route_2
2025-03-05,EN987654,gw_2,6,2895,1,1,1,1,0,1,0,0,route_1
2025-03-06,EN987654,gw_2,11,2906,1,1,1,0,0,1,0,0,route_2
2025-03-07,EN987654,gw_5,6,2912,0,1,0,0,0,0,1,1,route_3
2025-03-08,EN987654,gw_2,12,2924,0,1,0,1,0,0,0,1,route_3
2025-03-09,EN987654,gw_4,12,2936,0,1,1,1,0,1,1,1,route_2
2025-03-10,EN987654,gw_5,6,2942,0,0,1,0,1,1,1,1,route_2
2025-03-11,EN987654,gw_3,-9,2933,0,1,0,0,1,0,0,1,route_2
2025-03-12,EN987654,gw_5,10,2967,0,1,0,0,1,0,0,1,route_3
2025-03-13,EN987654,gw_1,6,2973,1,1,1,1,1,0,1,1,route_1
2025-03-14,EN987654,gw_1,12,2985,0,0,1,1,1,0,0,0,route_1
2025-03-15,EN987654,gw_1,11,2996,0,0,0,1,0,0,1,1,route_3
2025-03-16,EN987654,gw_1,13,3009,1,0,0,1,0,1,0,1,route_1
2025-03-17,EN987654,gw_3,13,3022,0,1,1,0,1,1,1,1,route_1
2025-03-18,EN987654,gw_2,-6,3016,1,1,0,0,1,1,1,0,route_2
2025-03-19,EN987654,gw_4,7,3040,1,1,0,0,1,1,1,1,route_1
2025-03-20,EN987654,gw_1,9,3049,1,1,0,1,0,0,1,0,route_2
2025-03-21,EN987654,gw_4,7,3056,0,1,0,0,0,1,0,1,route_2
2025-03-22,EN987654,gw_1,11,3067,1,1,0,0,0,1,1,1,route_2
2025-03-23,EN987654,gw_3,7,3074,0,1,0,1,1,1,1,0,route_1
2025-03-24,EN987654,gw_1,12,3086,0,1,0,0,1,1,0,1,route_2
2025-03-25,EN987654,gw_1,13,3099,0,1,0,0,0,1,1,1,route_1
2025-03-26,EN987654,gw_3,11,3110,1,0,0,0,0,0,1,0,route_3
2025-03-27,EN987654,gw_5,15,3125,0,0,0,0,1,0,1,0,route_2
2025-03-28,EN987654,gw_5,11,3136,0,1,0,1,0,1,1,0,route_3
2025-03-29,EN987654,gw_3,0,3136,1,1,0,1,0,1,1,1,route_2
2025-03-30,EN987654,gw_3,5,3141,0,1,1,1,1,1,0,1,route_1
2025-03-31,EN987654,gw_1,6,3147,1,0,1,1,1,1,1,1,route_2
2025-04-01,EN987654,gw_2,12,3159,0,0,1,1,0,0,0,0,route_2
2025-04-02,EN987654,gw_4,7,3166,0,1,0,0,1,1,0,1,route_2
2025-04-03,EN987654,gw_5,-2,3164,0,0,0,1,0,1,0,0,route_1
2025-04-04,EN987654,gw_1,14,3191,1,1,0,0,1,1,0,0,route_3
2025-04-05,EN987654,gw_3,5,3196,0,0,1,0,1,0,0,0,route_3
2025-04-06,EN987654,gw_2,11,3207,0,1,1,0,1,1,1,0,route_1
2025-04-07,EN987654,gw_4,0,3207,1,1,0,0,1,1,1,0,route_3
2025-04-08,EN987654,gw_5,15,3222,0,1,1,1,1,1,1,1,route_2
2025-04-09,EN987654,gw_5,9,3231,0,1,0,1,0,0,0,1,route_2
2025-04-10,EN987654,gw_5,8,3239,0,0,0,0,0,1,1,1,route_3
2025-01-01,EN112233,gw_2,10,2302,1,1,1,1,1,1,1,0,route_2
2025-01-02,EN112233,gw_2,11,2313,0,0,0,0,0,0,0,1,route_1
2025-01-03,EN112233,gw_5,11,2324,0,1,1,0,0,0,0,0,route_1
2025-01-04,EN112233,gw_2,5,2329,1,1,0,0,0,0,0,1,route_3
2025-01-05,EN112233,gw_4,5,2334,0,0,0,1,1,1,1,0,route_2
2025-01-06,EN112233,gw_4,13,2347,0,0,1,0,0,1,1,0,route_1
2025-01-07,EN112233,gw_5,9,2356,0,1,1,0,0,0,0,0,route_3
2025-01-08,EN112233,gw_2,7,2363,1,1,0,0,1,1,1,0,route_1
2025-01-09,EN112233,gw_2,10,2373,0,1,1,1,1,0,1,0,route_2
2025-01-10,EN112233,gw_5,8,2381,0,0,1,0,0,1,0,1,route_3
2025-01-11,EN112233,gw_3,9,2390,1,1,0,1,0,0,0,1,route_3
2025-01-12,EN112233,gw_3,14,2404,1,1,0,0,0,1,0,0,route_1
2025-01-13,EN112233,gw_5,9,2413,0,1,0,1,0,1,1,1,route_2
2025-01-14,EN112233,gw_1,15,2428,1,0,0,0,0,0,1,1,route_2
2025-01-15,EN112233,gw_2,7,2435,1,0,0,0,1,0,0,0,route_2
2025-01-16,EN112233,gw_2,12,2447,1,1,1,0,0,0,0,0,route_3
2025-01-17,EN112233,gw_4,7,2454,0,0,0,1,0,0,0,0,route_3
2025-01-18,EN112233,gw_5,10,2464,1,1,0,0,1,1,1,0,route_3
2025-01-19,EN112233,gw_2,7,2471,0,0,0,1,1,1,0,0,route_2
2025-01-20,EN112233,gw_2,11,2482,0,0,0,1,0,0,0,1,route_1
2025-01-21,EN112233,gw_2,6,2488,0,1,0,1,1,0,0,1,route_1
2025-01-22,EN112233,gw_1,6,2494,0,1,0,0,0,0,0,1,route_3
2025-01-23,EN112233,gw_4,11,2505,1,1,0,1,0,1,0,0,route_2
2025-01-24,EN112233,gw_2,11,2516,0,0,1,1,0,0,1,1,route_3
2025-01-25,EN112233,gw_2,11,2527,0,1,1,1,1,0,1,1,route_2
2025-01-26,EN112233,gw_2,10,2537,1,1,0,0,1,0,1,1,route_1
2025-01-27,EN112233,gw_1,13,2550,1,0,0,1,1,0,0,0,route_1
2025-01-28,EN112233,gw_3,7,2557,0,1,0,0,1,1,0,0,route_3
2025-01-29,EN112233,gw_3,14,2571,0,0,1,1,0,1,1,0,route_2
2025-01-30,EN112233,gw_3,12,2583,1,0,1,1,0,1,0,1,route_2
